sentence_id,clean_text,obfuscated_text,obf_level,meta_label
21,"Civilian movement reported near checkpoint, caution","(!v1liañ m0v3meñ7 reported near che(kpoin7 , (aut1on",medium,THREAT
22,"Package status unclear, abort the handover","Package status unclear , ab0r7 the handover",low,SAFE
23,All units remain in blackout; maintain radio silence,All uni7s remain in bl4ckout ; m41ntain radio s1l3nc3,low,THREAT
24,Unverified reports suggest agitators gathering,Unverified  reports 5u9gs7 agitators g47he®iñg,medium,HATE
25,Recon reports possible infiltration near hill-9,Recon repor75 possible infiltrat10n near h1ll - 9,low,SAFE
26,"Zone-C reports hostile movement, silent mode on","Zone - C reports hostile movement , silent mod3 on",low,THREAT
27,"Patrol cancelled, area seems unsafe","@P4tr0|$ (@n(3|13d , @a®e@$ se3m$ vñ5@f3",high,SAFE
28,"Transmission jam detected, postpone the meeting","Transmission jam detected , postpone the meeting",low,THREAT
29,"Send backup, radio is down","Send backup , radio is down",low,HATE
30,"Sector 5 shows suspicious activity, verify","Sector 5 shows suspicious activity , v3rify",low,SAFE
31,"Patrol cancelled, area seems unsafe","Patrol (an(elld , area seems vñ5fe",medium,THREAT
32,"Sector 5 shows suspicious activity, verify","$3c70® 5 s#0w$8 $$v5p!(!0v$9$ 4c7iv!ty , v3r!fy",high,HATE
33,"Sector 2 shows suspicious activity, verify","$ector 2 shows $u5pcos activity , v3r1f-y",medium,SAFE
34,All units remain in blackout; maintain radio silence,All vnits rem@iñ in 8la(kou7 ; main7@iñ rad10 $i|3ñce,medium,THREAT
35,"Zone-C reports hostile movement, silent mode on","$Z0ñe@ - ( #®3p0r7s$ #os7!1e $m0v3m0eñ7@ , si153n7 m0d3 0ñ",high,HATE
36,Establish perimeter and monitor the north ridge,3stablis# perim373® @nd monitor th3 north ridge,medium,THREAT
37,All units remain in blackout; maintain radio silence,All units remain in bla(ku7 ; maintain radio silence,medium,THREAT
38,"The source may shift position, keep eyes open","The source may shift position , k3ep 3y3$ op3n",medium,THREAT
39,Mission NeonSky aborted due to system anomaly,Mission  NeonSky aborted due to 5ystem anomaly,low,SAFE
40,"Multiple crossings detected near border side, alert command","Multiple cro5sings det3cted near border side , alert command",low,HATE
41,"Civilian movement reported near checkpoint, caution","(!v!1i@ñ mov3m3ñ7 ®3p0r73d ñ35@® (#3ckp0!ñ7 , $(av7i0n#",high,THREAT
42,Code Alpha – maintain schedule,(0d3  @1ph4 – ma1ñt41ñ @s(#3dv|3#,high,SAFE
43,Unverified reports suggest agitators gathering,Unve®f!3d repor7s suggest agitators gath3rng,medium,SAFE
44,"Patrol cancelled, area seems unsafe","Pat®o1 (4n(3l|ed , area $ems ñsafe",medium,THREAT
45,"Multiple crossings detected near border side, alert command","Mvl7!pl -crs$in9$ d3t3cted n@r border side , al3rt command",medium,SAFE
46,Establish perimeter and monitor the north ridge,3s7@8l!s# pe®!m37e® 4ñd m0n!t0r 7#9e #ñ0rt#$ ®!d9e,high,SAFE
47,"Target confirmed near sector 1, stay alert","7@®9et (8oñfirm3d #ñ34r@ $3(70r 01 , @579@y# $@136r7$",high,HATE
48,Unverified reports suggest agitators gathering,vnver!f1ed ®3p0r7s $v993$t $@917a70r$$ 9@97h3®iñ9,high,HATE
49,Code Alpha – maintain schedule,(0d3 Alpha – m@in7@!n $$c2#3dv|e@,high,SAFE
50,Code Alpha – maintain schedule,(ode @|p#4 – $m@!ñ7@iñ@ 5c#3dv|3,high,HATE
51,Unverified reports suggest agitators gathering,Unverified reports suggest a91tato®s gathering,low,THREAT
52,Mission NeonSky aborted due to system anomaly,Mission ñ3oñSky aborted due to system 4ñom4ly,low,SAFE
53,"Transmission jam detected, postpone the meeting","Transmission  ja_m dete(t3-d , postpone the meeting",medium,THREAT
54,"Operation Delta in two minutes, finalize readiness","Operation  Delta in two minutes , finalize ®3adiness",low,THREAT
55,Unverified reports suggest agitators gathering,Unverified reports suggest agitators gathering,low,HATE
56,"Civilian movement reported near checkpoint, caution","C1vi|i@n movem3n7 ®3p0®73d #ne4®@ c#e(kpo!ñt , (@v710ñ",high,THREAT
57,"Payload drop scheduled at 0300 hrs, confirm logistics","@P@yl0@d@ dr0p $(h3dv1ed at3 07300 #®5 , (oñf1®m lo91s7!($",high,SAFE
58,Unverified reports suggest agitators gathering,$vñv3®if!3d# @®3p0®7$@ $5v993st@ @9!7a70®s 947#e2®!ñ9,high,THREAT
59,"Sector 6 shows suspicious activity, verify","S3(t0® 6 s#0ws svsp!c1os act!v1ty , ver!fy",medium,HATE
60,Need to secure base at dawn,Need to secur3 base at dawn,low,THREAT
61,"Target confirmed near sector 10, stay alert","Target confi®med near secto® 10 , stay alert",low,SAFE
62,"Tango spotted near checkpoint, move to cover","Tan9o spotted near checkpoint , move to cover",low,HATE
63,"Target confirmed near sector 8, stay alert","T4r9e7 (0ñfirm3d near sector 8 , 5tay alert",low,SAFE
64,"Sector 10 shows suspicious activity, verify","Sector 10 shows suspicious activity , verify",low,SAFE
65,"Tango spotted near checkpoint, move to cover","Tango spotted near ch3ckpoint , move to c0ve®",low,HATE
66,"Patrol cancelled, area seems unsafe","Patrol cancelled , ar3a 5eem$ unsafe",medium,THREAT
67,"Transmission jam detected, postpone the meeting","7r4n5m1ssion jam detected , postpone 7he meeting",low,SAFE
68,"Sector 7 shows suspicious activity, verify","5e(t0® 7 $h0w$ sv$pi(!0v$ 4c7!vi7y , v3rify",high,HATE
69,"Tango spotted near checkpoint, move to cover","Tango spotted near checkpoint , mv3 t c0ver",medium,THREAT
70,All units remain in blackout; maintain radio silence,All unit5 remaiñ in blackout ; maintain radio silence,low,SAFE
71,"Send backup, radio is down","S3ñd ba(kup , radio is down",low,THREAT
72,"Send backup, radio is down","65eñd b@ckv8p , ®@dio 41$ d0wn",high,THREAT
73,Need to secure base at dawn,@ñe3d$ t0 $e(v®3 8@$3 #@7$ #d4wn$,high,SAFE
74,"Zone-B reports hostile movement, silent mode on","Zn - B repo®ts hostile m0v3men7 , 5i1ent mode on",medium,HATE
75,"Patrol cancelled, area seems unsafe","P@t®01 (4ñ(35l13d , $@®34# 5e3m$6 $uñ$@f3@",high,HATE
76,"The source may shift position, keep eyes open","The  source m4y shift pos1t!oñ , keep eye$ open",medium,SAFE
77,Code Alpha – maintain schedule,Code A1p# – main74!n schedule,medium,HATE
78,"Target confirmed near sector 8, stay alert","7arg37 confirmed near sector 8 , $7ay 4lert",medium,THREAT
79,Recon reports possible infiltration near hill-6,$Recoñ@ report$ p05s!bl3 !ñfi1tr@t!on #ñ34r$ #!11 - 6,high,SAFE
80,"Transmission jam detected, postpone the meeting","T®an$mi5s-ioñ j@m d3tec73d , p0stp0ne the m3e-7iñg",medium,THREAT
81,"Patrol cancelled, area seems unsafe","P@75r0| (añ(e|led , $@®e@$ #s336m$@ vñsaf3",high,HATE
82,"Civilian movement reported near checkpoint, caution","Civilian movement reported near checkpoint , caution",low,HATE
83,"Send backup, radio is down","Send backup , radio is d0wn",low,HATE
84,Unverified reports suggest agitators gathering,Unverified ®eports suggest agitato®s ga7herin9,low,HATE
85,Unverified reports suggest agitators gathering,Unverified report5 sug9est agi74tors 947h3ring,low,SAFE
86,"Transmission jam detected, postpone the meeting","Tr4nsmission jam detec7ed , p05tpone the meeting",low,THREAT
87,"Zone-2 reports hostile movement, silent mode on","Zone - 2 repor7s host1l3 m0vement , silent mode on",low,HATE
88,"Zone-D reports hostile movement, silent mode on","Zone - D ®port5 hostile movement , silent mod3 on",medium,SAFE
89,"The source may shift position, keep eyes open","The sour(3 may 5hif7 pos1tion , keep eyes open",low,SAFE
90,"Send backup, radio is down","2S3nd ba(kup , r@d10 i$ d0wn",high,THREAT
91,Code Alpha – maintain schedule,C0de #Alp#a# – m4!nt4in s(h3dvl3,high,SAFE
92,"Transmission jam detected, postpone the meeting","Transmission jam detected , p0$tpone 7#3 meeting",medium,SAFE
93,Establish perimeter and monitor the north ridge,3st@blish perime7er añd monit0r the north ridge,medium,THREAT
94,Code Alpha – maintain schedule,Code Alpha – maintain schedule,low,THREAT
95,Recon reports possible infiltration near hill-12,®_c0n r3p0®7s possible !ñfiltration ne@® hill - 12,medium,HATE
96,"Civilian movement reported near checkpoint, caution","C1vlian -movem3ñt rep0rt3d ñar -(#3ckpoiñ7 , c4v7ioñ",medium,HATE
97,"Patrol cancelled, area seems unsafe","Pa7®0l cañ(elled , area seems unsafe",medium,THREAT
98,"Tango spotted near checkpoint, move to cover","Tango $p0t73d -near checkpoint , move to cov3r",medium,THREAT
99,"Multiple crossings detected near border side, alert command","$Mu|t!ple# (®0s51n9s de7ec73d $n3a®@ 80®d3r sid3 , @13r7 (0mmand",high,THREAT
100,"Patrol cancelled, area seems unsafe","Patrol can(e1led , 4®ea seems unsafe",low,SAFE
101,"Sector 10 shows suspicious activity, verify","$Se(70®# 10 5#0w$ sv$p1(10u5 act!vi7y , v3rify",high,HATE
102,Unverified reports suggest agitators gathering,Unverified ®epo®ts suggest agita7ors g4t#ering,low,THREAT
103,Establish perimeter and monitor the north ridge,Esta8l1$h  p3r!me73r añd m0ñ!70r 7#3 $n0®7#$ ®!d393,high,HATE
104,Establish perimeter and monitor the north ridge,3s7a8|1sh perimeter @nd moni70r the north ridge,medium,THREAT
105,"Operation Delta in two minutes, finalize readiness","Operation Delta in tw0 minu7es , finaliz3 ®34d!-ñ3ss",medium,HATE
106,"Operation Delta in two minutes, finalize readiness","Operation Del7a in two minutes , finalize readiness",low,THREAT
107,Code Alpha – maintain schedule,Cod3 Alpha – ma!nt4iñ 5ch3du|3,medium,SAFE
108,Mission NeonSky aborted due to system anomaly,M15$!oñ ñ30n$ky $8480®t3d@ due t0 @$yst3m@ 4n00maly,high,SAFE
109,"Payload drop scheduled at 2100 hrs, confirm logistics","Payl0ad drp s(heduled @t 2100 -hr$ , c0ñf!rm l0gisti(s",medium,THREAT
110,Need to secure base at dawn,Need to secure base at dawñ,low,HATE
111,Code Alpha – maintain schedule,Code 41pha – maiñ7ain schedule,medium,THREAT
112,"Target confirmed near sector 1, stay alert","Target confirmed near sector 1 , s7ay alert",low,SAFE
113,"Multiple crossings detected near border side, alert command","Mu1tipl3 cros5in9$ d37ected n3ar border side , alert command",medium,THREAT
114,Mission NeonSky aborted due to system anomaly,Mission NeonSky abo®7ed due to system anomaly,low,SAFE
115,"Patrol cancelled, area seems unsafe","Pa1t®0l  (4ñ(e113d , @®ea 5eems6 uñs4f3",high,HATE
116,"Package status unclear, abort the handover","Package status unclear , abort the handove®",low,HATE
117,Code Alpha – maintain schedule,#Code@ $@|ph4$ – m@iñta!n sc#3dule,high,SAFE
118,"Zone-2 reports hostile movement, silent mode on","Zone - 2 reports hos7ile movement , silent mode on",low,HATE
119,"Zone-B reports hostile movement, silent mode on","Zone - B reports h0$7ile movement , silent m0d3 0ñ",medium,HATE
120,"Patrol cancelled, area seems unsafe","Patrol cancelled , area seems uñs@fe",medium,HATE
121,"Payload drop scheduled at 2100 hrs, confirm logistics","Payload d®op scheduled at 2100 h®5 , conf!rm lo9ist1c5",medium,SAFE
122,"Target confirmed near sector 12, stay alert","Tar937 (0ñfi®med ñ34®8 @s3ct0®$ $12# , $s7@y@ 4l3r7",high,SAFE
123,Establish perimeter and monitor the north ridge,3stablish p3r1meter and monitor the north ridge,low,SAFE
124,Code Alpha – maintain schedule,Cod3 lph@ – maintain 5c#3du|e,medium,SAFE
125,"Zone-C reports hostile movement, silent mode on","Zone - C reports hosti1e movement , silent mode on",low,HATE
126,"Target confirmed near sector 4, stay alert","Target (ñf1®med near sector 4 , stay alert",medium,SAFE
127,Establish perimeter and monitor the north ridge,Establish pe®imet3r añd monitor the north ridge,low,THREAT
128,"Multiple crossings detected near border side, alert command","Mvltiple crossings detected near border side , 4le®t command",low,SAFE
129,Recon reports possible infiltration near hill-1,#®3(0ñ@ rep0®76$ po5sib|3 $iñf1l7®@7!0n@ ñea® @hi11# - 1,high,SAFE
130,"Patrol cancelled, area seems unsafe","Patrol c4ñcelled , 4rea seems vnsaf3",low,THREAT
131,Establish perimeter and monitor the north ridge,Establish per1m3te® and monitor the n0rth ridge,low,SAFE
132,"Patrol cancelled, area seems unsafe","Patrol cancelled , ar3a seems unsafe",low,SAFE
133,Mission NeonSky aborted due to system anomaly,Mi5s1o8ñ ñ30ñSky a8o®73d du3 $7o# @$y$t3m# @ñ0maly,high,SAFE
134,"Transmission jam detected, postpone the meeting","7®añ5mi$s!0n jam _d373cted , postpne 7h3 me37!ñ9",medium,SAFE
135,"Zone-2 reports hostile movement, silent mode on","Zone - 2 reports h0st1le movemeñt , silent mode 0n",medium,HATE
136,"Target confirmed near sector 8, stay alert","7a®937 (0ñf!®m3d n34® 53(7o® 18 , @s7ay$ @@le®67#",high,SAFE
137,"Multiple crossings detected near border side, alert command","Mul71p-l3 cros5iñg$ detected ne@r border 5!_de , 4l3r7 (0mm@ñd",medium,HATE
138,"Zone-C reports hostile movement, silent mode on","Zone - C reports hs7i1_3 movement , 5ilent mode on",medium,SAFE
139,Unverified reports suggest agitators gathering,vñv39®1f!3d ®ep0rt5 $$u993$t@ a911747o®$ ga75#e®!ñg,high,SAFE
140,"Operation Delta in two minutes, finalize readiness","Op3rat10ñ De|7@ !n two m1ñv73s , fin4lize ®34d81ñe5$",high,SAFE
141,"Operation Delta in two minutes, finalize readiness","Ope®at!on Delt in tw m!nvtes , fina|!z ®ead!ñ3ss",medium,SAFE
142,"The source may shift position, keep eyes open","T#e source m4y shift posi7i0ñ , ke3p eyes open",low,SAFE
143,Code Alpha – maintain schedule,Code Alp#a – maintain schedule,medium,HATE
144,Need to secure base at dawn,@ñ33d# @to# 53(vr3 @8@1s3$ 047 $d4wñ$,high,HATE
145,"Operation Delta in two minutes, finalize readiness","0pe®at!0ñ De|t@ 1ñ 7w60 m1ñv7es , f1ñ411z3 r3ad!ñ35$0",high,HATE
146,Establish perimeter and monitor the north ridge,E57ablish perimete® añd m0ñito® the north ridge,low,HATE
147,"Patrol cancelled, area seems unsafe","Pa7ro1 (ance|l3d , a®3a 3s3em$ vñsaf3",high,SAFE
148,Code Alpha – maintain schedule,Code @lph@ – maintain s(hedvl3,medium,HATE
149,"Package status unclear, abort the handover","Pack@9e  status uñc13r , 48o®t 7#3 #ndovr",medium,THREAT
150,"Patrol cancelled, area seems unsafe","Patrol cancelled , area seems unsafe",low,SAFE
151,"Multiple crossings detected near border side, alert command","Multiple cro$$!ngs d37e(7ed near border side , alert comm@nd",medium,SAFE
152,"Send backup, radio is down","Send backup , r4_d10 !s down",medium,SAFE
153,Code Alpha – maintain schedule,Code A1pha – maint4in schedul3,low,THREAT
154,"Multiple crossings detected near border side, alert command","Mv|tip|e (®o5s1ñg9$ d373c7ed ñ3a® 80®der 51d3 , a1e®t (omm@ñd",high,THREAT
155,All units remain in blackout; maintain radio silence,Al1 units remain iñ b1ackout ; maiñ7ain radio silence,low,THREAT
156,"Package status unclear, abort the handover","Package status unclear , abort the handover",low,SAFE
157,Code Alpha – maintain schedule,Code Alp#a – maint4in 5c#edule,medium,SAFE
158,"Multiple crossings detected near border side, alert command","Mv171p1e $(®0$$1n9s# $d373c73d@ ne@® b8o®d3r 51de , al3r7 (0mm@ñd",high,SAFE
159,All units remain in blackout; maintain radio silence,A|| unit$ ®3miñ 1n bl4ckout ; maintain radi0 5il3ñ(e,medium,SAFE
160,Mission NeonSky aborted due to system anomaly,@M!s$i0n# ñ30nSky a8o®ted du3 70 5y$7em @ñoma1y,high,HATE
161,Need to secure base at dawn,-Need  to secv®3 base a7- dawn,medium,THREAT
162,"Patrol cancelled, area seems unsafe","Patrol (ancelled , area seems unsafe",low,SAFE
163,"The source may shift position, keep eyes open","7h3 sovrce may shif7 position , k3ep eye5 open",medium,SAFE
164,Establish perimeter and monitor the north ridge,Establish perimeter and monitor the north ®idg3,low,THREAT
165,Need to secure base at dawn,@6ñ3ed@ 7o $3(u®e b@se a7 d@wñ4,high,THREAT
166,"Patrol cancelled, area seems unsafe","P@7®o1 c@ñ(3|led , 4®3a 53em$ vns@f3",high,SAFE
167,"Tango spotted near checkpoint, move to cover","T@ñg0 @sp0t73d# $ñea®$ c#3ckp01ñ7 , move 760 (0ver",high,HATE
168,"Operation Delta in two minutes, finalize readiness","Op3®@7!0n D3|74 11n 7wo $m!ñu73s@ , $fiña|iz3@ ®e@d!n35$",high,SAFE
169,Need to secure base at dawn,N3ed  7o secvr3 8453 at dawn,medium,THREAT
170,"Multiple crossings detected near border side, alert command","Multiple crossings det3cted ne® border s!d , a|er7 command",medium,SAFE
171,"Payload drop scheduled at 0005 hrs, confirm logistics","Payload0 $d®0p@ $(#3dvl3d @t 0005 #®5 , @c0nfi®m@ 10g1$71($",high,THREAT
172,Unverified reports suggest agitators gathering,Unverifi3d ®ep0rt$ su9ge$7 ag17@70rs g@7#3r1ñ9,high,HATE
173,Need to secure base at dawn,ñe3d #70@ 5e(v®3 #845e# 47 d9@wn,high,SAFE
174,"The source may shift position, keep eyes open","T#3 s0v®c3 #m4@y@ s#!f7 po51710ñ , k33p 3y3s open",high,HATE
175,Need to secure base at dawn,ñeed @70# s3(v®3 8@53 @t dawñ,high,SAFE
176,"Operation Delta in two minutes, finalize readiness","Operation Delta in tw0 minvte5 , fiña1iz3 readin3ss",low,THREAT
177,"Send backup, radio is down","Send b4(kup , radio is d0wn",low,HATE
178,Establish perimeter and monitor the north ridge,3sta8l!s# p3®!m3t3r @n2d @m0ñ!t0®$ 7#e no®7# r1d93,high,SAFE
179,"Send backup, radio is down","Send backup , radio is down",low,HATE
180,"Civilian movement reported near checkpoint, caution","(1v11i@ñ m0v3m3ñt ®3po®73d n3a® (h3(kp01ñ7 , cav710ñ",high,SAFE
181,"Package status unclear, abort the handover","Package s7atus uñ(l3ar , a8ort the handover",medium,THREAT
182,Recon reports possible infiltration near hill-4,$Re3(0n@ ®3p0®ts #p0ss18l3# iñf1|tr@t!0ñ @ne@®# #!ll - 4,high,SAFE
183,Code Alpha – maintain schedule,(ode @lp#@ – m4iñtaiñ sch-edule,medium,THREAT
184,"Send backup, radio is down","Send backup , radio 1s_ down",medium,HATE
185,All units remain in blackout; maintain radio silence,Al1 vñ!7s r3m4!ñ 1ñ 814ck0vt ; m4!ñ7@1n ®4d5!o 51l3ñ(e,high,HATE
186,"The source may shift position, keep eyes open","The source may shift position , k3ep eyes open",low,SAFE
187,"Transmission jam detected, postpone the meeting","Transmission  jam detected , postpone the meeting",low,SAFE
188,Recon reports possible infiltration near hill-11,Re(0n reports poss1ble infiltration near hill - 11,low,THREAT
189,Mission NeonSky aborted due to system anomaly,Mission NeonSky aborted due to system anomaly,low,THREAT
190,"The source may shift position, keep eyes open","The source may shift positi0n , keep eyes open",low,HATE
191,"Civilian movement reported near checkpoint, caution","(1v1l14n movement reported near checkpoint , (autioñ",low,SAFE
192,"Sector 3 shows suspicious activity, verify","Sect0® 3 shows suspicious activity , v3®1fy",medium,SAFE
193,"Tango spotted near checkpoint, move to cover","Tango $p0-t73d n3ar c#3ckpoiñt , move to (ov3r",medium,SAFE
194,"Sector 1 shows suspicious activity, verify","S3(t0r 1 shows suspic1ovs activity , ver1fy",low,SAFE
195,Mission NeonSky aborted due to system anomaly,M1$5on N30nSky a8o®td due 7o system anomaly,medium,THREAT
196,"Tango spotted near checkpoint, move to cover","Tango  spotted near che(kpoint , move to cover",low,SAFE
197,"The source may shift position, keep eyes open","7#e s0v®ce may sh1ft p05i74ioñ , $k3ep@ 3ye$ 0peñ",high,THREAT
198,"The source may shift position, keep eyes open","The source may shift position , keep ey3s open",low,HATE
199,"Multiple crossings detected near border side, alert command","Multiple c®ossings det3cted ne4r border side , 4l3rt command",low,SAFE
200,Unverified reports suggest agitators gathering,vnverif6i3d  repor7$ @$vg9e$7$ @a9!t@70®5# $9at#e®in9@,high,THREAT
201,"Operation Delta in two minutes, finalize readiness","Operation Delta in two minutes , fiñalize readiness",low,SAFE
202,"Tango spotted near checkpoint, move to cover","7an90 spotted near checkpoint , move 7o cover",medium,HATE
203,"Target confirmed near sector 7, stay alert","7a®gt confirmed n3r se(to® 7 , s7ay alert",medium,HATE
204,"Package status unclear, abort the handover","Package status unclear , abrt the hñd0v3r",medium,HATE
205,"Operation Delta in two minutes, finalize readiness","Operation Delta in two minutes , fina1ize ®eadiñess",low,HATE
206,Unverified reports suggest agitators gathering,Unverified reports suggest agi7ators gathering,low,SAFE
207,"Package status unclear, abort the handover","Pa(kage  5t@7u$ unclear , 80r7 the handover",medium,SAFE
208,"Multiple crossings detected near border side, alert command","Mu17ip1e 7c®oss1ñg$ dete(t3d $7ñ3@®# $80rde®$ #s!de# , @4le®7@ c0mm4ñd",high,SAFE
209,"Sector 1 shows suspicious activity, verify","Sector 1 shows sv5picious activity , verify",low,SAFE
210,Mission NeonSky aborted due to system anomaly,#M1i$5!0ñ@ ñ3onSky @a80r73d@ du3 70 syst3m @an0m8a|y$,high,HATE
211,Need to secure base at dawn,Need 7o secvr3 8a5 at dawn,medium,SAFE
212,Recon reports possible infiltration near hill-12,®e(oñ rep0r7$6 p0s$!8|3 iñf1|t®@7!0ñ ne@® #1|1 - 12,high,SAFE
213,"Send backup, radio is down","Send 84(kvp , ®adi0 i$ down",medium,THREAT
214,"Send backup, radio is down","Send ba(kvp , radio is down",low,SAFE
215,Recon reports possible infiltration near hill-3,Recon rep0rts possible infiltration n3ar hill - 3,medium,SAFE
216,"Multiple crossings detected near border side, alert command","#9Mv|tip13@  #c®o$$!ñg$$ d23te(t3d ñe4r 80rd3® @5id3$ , @13r7 (0mm4ñd",high,SAFE
217,"The source may shift position, keep eyes open","The source may s#ift p05it1on , keep eyes open",low,SAFE
218,Unverified reports suggest agitators gathering,Unverified ®epor-75 su-gge$t agit47o®s gathering,medium,THREAT
219,Recon reports possible infiltration near hill-5,Recon reports possi8le infiltration near hill - 5,low,SAFE
220,"Operation Delta in two minutes, finalize readiness","Operation Delta in two minvtes , finalize readiness",low,THREAT
221,All units remain in blackout; maintain radio silence,All units remain in blackout ; maintain radio silence,low,SAFE
222,"Sector 10 shows suspicious activity, verify","53(70® @10# 5#0ws #svsp1(i0v5@ #@(tiv!7y# , v3®1fy5",high,THREAT
223,All units remain in blackout; maintain radio silence,A1l units rema1n iñ b|a(kov7 ; m4nta!n radi0 5il3ñce,medium,SAFE
224,Mission NeonSky aborted due to system anomaly,$M3!s$!0ñ$ $NeonSky@ @80rt3d dve @to@ sy5tem 4ñ0maly,high,SAFE
225,"Multiple crossings detected near border side, alert command","Multip1e crossings detected near border 5ide , alert command",low,SAFE
226,Recon reports possible infiltration near hill-1,R3c0n ®epor7$ pos$ible infil7ration near #!ll - 1,medium,HATE
227,Code Alpha – maintain schedule,Code Alpha – maintain s(hedu1e,low,THREAT
228,Establish perimeter and monitor the north ridge,3st4bli5h perimeter and monitor t#e north ridge,low,SAFE
229,Code Alpha – maintain schedule,Code Alpha – maintaiñ sch3du1e,low,HATE
230,"Multiple crossings detected near border side, alert command","Multiple crossings detected near border side , alert command",low,SAFE
231,Mission NeonSky aborted due to system anomaly,Mission NeonSky a8orted dv3 to system anomaly,low,SAFE
232,Mission NeonSky aborted due to system anomaly,Mission  Ne0nSky aborted due 7o 5y5tem anomaly,low,THREAT
233,"Zone-B reports hostile movement, silent mode on","Z0ñ3 - 78 r3p0®75 #0st11e m0v3m30ñ7 , #5!13ñt# @m80d3# 0ñ",high,HATE
234,"Patrol cancelled, area seems unsafe","Patrol cancelled , area seems unsafe",low,SAFE
235,"The source may shift position, keep eyes open","Th3 sovrce m@y shift po$it!on , keep 3y3$ 0pen",medium,THREAT
236,"Package status unclear, abort the handover","Package status un(lear , abort the handove®",low,SAFE
237,Need to secure base at dawn,ñe3d 70 53(v®3 @8@se$ @@t$ d4wñ,high,THREAT
238,Unverified reports suggest agitators gathering,Unverified r3p0rts sugg3st agitators gathering,medium,HATE
239,"Payload drop scheduled at 0130 hrs, confirm logistics","Payload drop scheduled at 0130 hrs , confirm logistics",low,SAFE
240,"Target confirmed near sector 6, stay alert","Ta®g3t confirmed near sector 6 , s7y a|er7",medium,THREAT
241,"Target confirmed near sector 6, stay alert","Target conf1®m3d n3ar sector 6 , st4y 1ert",medium,SAFE
242,"Sector 3 shows suspicious activity, verify","Sector 3 5h0w5 suspi(!0us activity , ver!fy",medium,HATE
243,"Multiple crossings detected near border side, alert command","Mul7ipl3 crossings detected near border s1de , alert (ommand",low,HATE
244,"Zone-D reports hostile movement, silent mode on","Zon3 - D r3p80r7$ #o$7i|e mov3meñ7 , 5!13ñ7 m0de @0ñ$",high,SAFE
245,"Sector 2 shows suspicious activity, verify","Sector 2 shows suspicious activity , verify",low,THREAT
246,Mission NeonSky aborted due to system anomaly,Mission NeonSky a8ort3d dve to system an0m@ly,medium,THREAT
247,"Operation Delta in two minutes, finalize readiness","Op3r4tion  Delta in two m1nu73s , fin4lize readiness",low,THREAT
248,"Multiple crossings detected near border side, alert command","Multiple cro$5ñg5 detected ñea® border s!d3 , alert command",medium,SAFE
249,"Zone-C reports hostile movement, silent mode on","#Z0ne@  - 9C ®3p0r75 #ho5t6i|3# mov3m3nt , @si1eñt@ m0de 0ñ",high,THREAT
250,"Payload drop scheduled at 0130 hrs, confirm logistics","Payl0ad drop scheduled a7_ 0130 hrs , confirm |o9ist1(5",medium,SAFE
251,"Operation Delta in two minutes, finalize readiness","Operation Delta in two minutes , finalize r3ad1ness",low,SAFE
